"","part_id","contact","part_age","cutoff_contact","cutoff_contact_100"
"235","uk_G1_700339",6,"30-39",6,6
"236","uk_G1_700340",1,"60-69",1,1
"237","uk_G1_700341",2,"60-69",2,2
"238","uk_G1_700343",2,"40-49",2,2
"239","uk_G1_700344",1,"60-69",1,1
"240","uk_G1_700345",1,"30-39",1,1
"241","uk_G1_700346",3,"40-49",3,3
"242","uk_G1_700348",4,"50-59",4,4
"243","uk_G1_700349",5,"40-49",5,5
"244","uk_G1_700350",1,"50-59",1,1
"245","uk_G1_700351",3,"40-49",3,3
"246","uk_G1_700352",5,"50-59",5,5
"247","uk_G1_700353",4,"50-59",4,4
"248","uk_G1_700354",3,"70-120",3,3
"249","uk_G1_700355",5,"40-49",5,5
"250","uk_G1_700356",2,"40-49",2,2
"251","uk_G1_700357",33,"50-59",20,33
"252","uk_G1_700359",3,"40-49",3,3
"253","uk_G1_700360",4,"60-69",4,4
"254","uk_G1_700362",2,"50-59",2,2
"255","uk_G1_700363",4,"70-120",4,4
"256","uk_G1_700364",9,"70-120",9,9
"257","uk_G1_700365",2,"60-69",2,2
"258","uk_G1_700366",3,"40-49",3,3
"259","uk_G1_700367",1,"50-59",1,1
"260","uk_G1_700368",2,"60-69",2,2
"261","uk_G1_700372",7,"50-59",7,7
"262","uk_G1_700373",1,"60-69",1,1
"263","uk_G1_700374",3,"40-49",3,3
"264","uk_G1_700376",6,"40-49",6,6
"265","uk_G1_700377",1,"50-59",1,1
"266","uk_G1_700378",3,"70-120",3,3
"267","uk_G1_700380",3,"40-49",3,3
"268","uk_G1_700381",3,"40-49",3,3
"269","uk_G1_700382",1,"60-69",1,1
"270","uk_G1_700383",1,"40-49",1,1
"271","uk_G1_700384",6,"60-69",6,6
"272","uk_G1_700385",2,"40-49",2,2
"273","uk_G1_700387",8,"40-49",8,8
"274","uk_G1_700389",4,"30-39",4,4
"275","uk_G1_700391",1,"50-59",1,1
"276","uk_G1_700392",1,"60-69",1,1
"277","uk_G1_700393",6,"18-29",6,6
"278","uk_G1_700394",7,"40-49",7,7
"279","uk_G1_700395",4,"50-59",4,4
"280","uk_G1_700396",6,"50-59",6,6
"281","uk_G1_700397",5,"60-69",5,5
"282","uk_G1_700398",5,"50-59",5,5
"283","uk_G1_700399",9,"60-69",9,9
"284","uk_G1_700401",1,"40-49",1,1
"285","uk_G1_700403",6,"60-69",6,6
"286","uk_G1_700404",5,"50-59",5,5
"287","uk_G1_700405",3,"60-69",3,3
"288","uk_G1_700406",6,"30-39",6,6
"289","uk_G1_700407",1,"60-69",1,1
"290","uk_G1_700408",1,"40-49",1,1
"291","uk_G1_700409",1,"60-69",1,1
"292","uk_G1_700410",14,"50-59",14,14
"293","uk_G1_700412",1,"60-69",1,1
"294","uk_G1_700413",4,"50-59",4,4
"295","uk_G1_700414",5,"60-69",5,5
"296","uk_G1_700415",3,"30-39",3,3
"297","uk_G1_700416",1,"30-39",1,1
"298","uk_G1_700418",12,"60-69",12,12
"299","uk_G1_700419",1,"60-69",1,1
"300","uk_G1_700420",3,"30-39",3,3
"301","uk_G1_700421",12,"40-49",12,12
"302","uk_G1_700422",1,"50-59",1,1
"303","uk_G1_700423",1,"40-49",1,1
"304","uk_G1_700424",5,"70-120",5,5
"305","uk_G1_700425",1,"60-69",1,1
"306","uk_G1_700426",3,"30-39",3,3
